time,oil,ore,uranium,diamonds,rivalium
2020-10-19 08:31:21,212,203,2216,1490000,154998
2020-10-19 08:41:33,211,203,2216,1490000,155000
2020-10-19 08:51:46,210,203,2216,1490000,153999
2020-10-19 12:23:29,215,203,2233,1440000,148670
2020-10-19 12:33:39,214,201,2232,1450000,148670
2020-10-19 12:43:53,210,202,2232,1450000,148670
2020-10-19 12:54:06,210,202,2230,1450000,148670
2020-10-19 13:04:19,209,202,2230,1450000,148670
2020-10-19 13:14:32,215,203,2229,1400000,148670
2020-10-19 13:25:01,210,203,2227,1450000,148670
2020-10-19 13:35:12,216,201,2219,1450000,148000
2020-10-19 13:45:44,215,201,2250,1450000,148670
2020-10-19 13:55:57,213,201,2248,1450000,147000
2020-10-19 14:06:09,213,201,2248,1400000,146999
2020-10-19 14:16:21,214,201,2247,1439990,148780
2020-10-19 14:26:52,217,201,2198,1449000,148780
2020-10-19 14:37:06,212,197,2198,1440000,148780
2020-10-19 14:47:18,217,201,2198,1440000,148789
2020-10-19 16:55:18,212,200,2216,1480000,145000
2020-10-19 19:50:04,218,200,2200,1448990,145996
2020-10-19 20:00:15,219,203,2223,1450000,140000
2020-10-19 20:10:26,217,201,2222,1440000,145800
2020-10-19 20:20:38,215,200,2221,1440000,154000
2020-10-19 20:30:49,212,200,2217,1430000,154999
2020-10-19 20:41:00,217,201,2215,1479700,150000
2020-10-19 20:51:27,215,200,2214,1479700,149999
2020-10-19 21:01:58,215,202,2212,1479700,149996
2020-10-19 21:12:09,215,203,2212,1479700,150000
2020-10-19 21:22:21,217,203,2211,1480000,144999
2020-10-19 21:32:32,216,201,2208,1480000,144996
2020-10-19 21:42:43,214,201,2207,1450000,139999
2020-10-19 21:53:13,213,200,2198,1475000,144799
2020-10-19 22:03:25,214,199,2197,1475000,145000
